Wall time,Step,Value
1576294308,208,0.04065657
1576296701,258,0.040660538
1576304076,412,0.040682282
1576301299,354,0.040701434
1576303693,404,0.040706787
1576304172,414,0.040717099
1576300628,340,0.040734816
1576294596,214,0.040747765
1576297466,274,0.040784594
1576306881,470,0.040787239
1576300148,330,0.040790766
1576304747,426,0.040803336
1576296796,260,0.040807925
1576296892,262,0.040819183
1576301203,352,0.040870041
1576294404,210,0.040873609
1576304652,424,0.040888689
1576297084,266,0.040901184
1576293925,200,0.040901851
1576294500,212,0.04096254
1576299380,314,0.040976081
1576293829,198,0.040992606
1576303214,394,0.041033547
1576295840,240,0.041052632
1576298517,296,0.041071299
1576303980,410,0.041073736
1576293542,192,0.041074663
1576297848,282,0.041080788
1576305130,434,0.041096505
1576305705,446,0.041154325
1576297370,272,0.04120674
1576306386,460,0.041314304
1576308070,494,0.041378196
1576292967,180,0.041407313
1576297753,280,0.041408375
1576292776,176,0.041435678
1576302640,382,0.041444112
1576296223,248,0.041453429
1576299669,320,0.041473594
1576292679,174,0.041593414
1576293638,194,0.041593678
1576293063,182,0.041766297
1576293350,188,0.041767772
1576293255,186,0.0418038
1576293733,196,0.041874718
1576304556,422,0.041932471
1576291750,162,0.041948453
1576294213,206,0.041988209
1576292242,168,0.041990202
1576292567,172,0.04205627
1576291590,160,0.042146336
1576291913,164,0.042261984
1576290623,148,0.042319536
1576291119,154,0.04239402
1576292871,178,0.042426862
1576290789,150,0.042522687
1576293446,190,0.042573877
1576293159,184,0.042611975
1576291274,156,0.042763952
1576307872,490,0.042766694
1576292078,166,0.042848505
1576294692,216,0.042899739
1576290956,152,0.042975873
1576292403,170,0.04298266
1576291437,158,0.043007001
1576290072,142,0.043011863
1576297944,284,0.043052081
1576289730,138,0.043260541
1576290276,144,0.043378703
1576289574,136,0.04342651
1576290456,146,0.043508496
1576289412,134,0.043526236
1576305418,440,0.043748561
1576288604,124,0.043919895
1576288767,126,0.043994997
1576294788,218,0.044177759
1576289890,140,0.044284664
1576288279,120,0.044292845
1576287948,116,0.044346418
1576289252,132,0.044423454
1576288439,122,0.044428866
1576288930,128,0.04467909
1576287787,114,0.044735055
1576287288,108,0.044796959
1576288115,118,0.044989929
1576294883,220,0.045716178
1576287454,110,0.045973737
1576286775,102,0.046370201
1576286945,104,0.046378754
1576287116,106,0.046928633
1576289092,130,0.048130572
1576287621,112,0.049955569
1576286595,100,0.052608229
1576286071,94,0.054752901
1576285929,92,0.054997887
1576285818,90,0.056324873
1576286230,96,0.057603359
1576285627,86,0.059209667
1576286395,98,0.059288405
